anime_cast,anime_company,anime_name,anime_region,anime_status,anime_tag,anime_url,anime_view,anime_year
千叶进步|小野大辅|植田佳奈|诹访部顺一,,钢铁神杰克,日本,完结,科幻,http://www.dilidili.wang/anime/gangtieshenjieke/,高校生草剃剑儿借着由从BIG SHOOTER射出的各种部件装着组合而成“钢铁神吉克”，与它们展开了激烈的战斗。关系到人类存亡的新的战斗开始了…,
饭田里穗,,怪兽娘～奥特怪兽拟人化计划,日本,完结,奇幻|美少女|泡面番,http://www.dilidili.wang/anime/mysteriousgirls/,终于对怪兽下手了,2016年10月
高木涉|山口胜平|雪野五月|子安武人,TMS娱乐,高桥留美子剧场,日本,完结,恋爱|泡面番,http://www.dilidili.wang/anime/gaoqiaoliumeizijuc/,能刻画出那些直指人心的社会现实性漫画，这份功力值得大家钦佩。,
高木涉|高乃丽|绪方贤一,日本动画公司,咕噜咕噜魔法阵,日本,完结,搞笑|冒险|童年,http://www.dilidili.wang/anime/gulugulu/,童年经典吐槽神作,2000年之前
河西健吾|福岛润|木村珠莉|小林裕介,,怪物弹珠 第二季,日本,连载,冒险|奇幻,http://www.dilidili.wang/anime/monsterstrike2/,monster-strike,2017年4月
榎木淳弥|齐藤壮马|水原薫|松井惠理子,,钢铁交响乐,日本,完结,游戏|冒险|美少女,http://www.dilidili.wang/anime/gtjxy/,少女为了游戏去拍片,2016年10月
滨田贤二|冈本信彦|堀内贤雄|浪川大辅|林原惠美|木内秀信|朴璐美|千本木彩花|田中秀幸|细谷佳正|岩男润子,TMS娱乐,鬼平犯科帐,日本,完结,热血|冒险|动作,http://www.dilidili.wang/anime/oniheikanjou/,时代剧的风格究竟要怎样通过动画的形式还原呢？,2017年1月
宫野真守|谷山纪章|铃村健一|鸟海浩辅|寺岛拓笃|下野纮|泽城美雪|诹访部顺一,A-1 Pictures,歌之王子殿下第四季,日本,完结,耽美|游戏|乙女,http://www.dilidili.wang/anime/utapri4/,真爱传说之星,2016年10月
,,哥斯拉剧场版合集,日本,完结,科幻|真人|恐怖|剧场版,http://www.dilidili.wang/anime/shingodzilla/,这不是一般怪兽片，是一部严肃的政治电影,2016年7月
关智一|广桥凉|大原沙耶香|钉宫理惠|福山润|甲斐田裕子|皆川纯子|立木文彦|麦人|平松晶子|千叶进步|浅野真澄|生天目仁美|藤原启治|小清水亚美|岩田光央|野川樱|野田顺子|柚木凉香|植田佳奈|中原麻衣,J.C.STAFF,光与水的女神,日本,完结,科幻|冒险|美少女,http://www.dilidili.wang/anime/daphne/,失业少女的百合打工记,2010年之前
,,攻壳机动队SP塔奇克马式的日常,日本,完结,科幻|机战,http://www.dilidili.wang/anime/gkjddsptlmt/,塔奇克马的日常,2010年之前
阿澄佳奈|户松遥|花江夏树|代永翼|丰崎爱生|铃村健一|绿川光|神谷浩史|梶裕贵|雨宫天,,告白实行委员会,日本,完结,青春|恋爱|励志,http://www.dilidili.wang/anime/honeyworks/,对恋爱辗转反侧的少男少女们,2016年4月
高木涉|绿川光|平田广明|桑岛法子|小山茉美|樱井孝宏,,怪ayakashi,日本,完结,奇幻,http://www.dilidili.wang/anime/guaaiyssd/,由鹤屋南北所作，广为流传的着名怪谈。,
福山润|金田朋子|南里侑香|清水爱|松来未祐|新谷良子,,公主时间,日本,完结,后宫|美少女,http://www.dilidili.wang/anime/gangzhudshij/,所谓被润和的记忆掩盖了的真实是…… ,
